super,improve
Service Quality/Outcomes,Listen to patients problems and deal with their needs appropriately I have epilepsy and have put numerous applications to see the doctor which STILL hasnt happened and I got a dentist appointment on my release date which is absurd I wasnt seen by the emergency doctor when needed I had been told I would be collected BUT I was not They NHS prison healthcare team DONT seem to care one bit about our wellbeing They DONT care enough to show us respect Just because we are in prison it doesnt make us bad people Decisions made behind our backs and we are only aware when they tell us the decisions I still have not seen a DR about my fits which put me intensive care in January 2016 on a ventilator and in a comawhat if I have an Epileptic fit and fall and break my neck or bang my head  X of your NHS healthcare team was the one who PROMISED me an EMERGENCY Dr appointment within 2 days  that was 2 weeks ago Ask officer X who was there at the time  I am X  X wing Cell X
Couldn't be improved,Nowt
Access to Services,More courses  practical courses 
Staff/Staff Attitude,Need more staff on ward Do not feel safe with the lack of staff given the environment
Staff/Staff Attitude,More staff required  the present team is too small for the job
Couldn't be improved,Nothing
Couldn't be improved,Could not improve anything
Care/ Treatment,easier to get an appointment booking after last visit
Staff/Staff Attitude,Whittling down the occasional staffs attitude who think its a god given right to treat us with contempt and their word is Law I will say these are few and far between
Access to Services,Timeframes when waiting for further treatment  I am awaiting distress tolerance and am unable to have counselling which I could do with because I moved from primary to secondary  I have been without a counsellor for too long
Care/ Treatment,More engagement Group programs needed 
Couldn't be improved,Nothing
Communication,Having a choice to fill this form in and not being told I have got to do it
Couldn't be improved,I am very happy with the care I have received so at this stage I cant think of any improvements that could be made
Environment/Facilities,More seats for mums to breatfeed at Quibel
Couldn't be improved,I do not think you coud do anything better  Very caring
Communication,Not have awful orange dayglow forms to fill in that dont ask the correct questions that are too broad and not specific enough
Care/ Treatment,More physical activity
Couldn't be improved,Nothing at the moment everything is fine as it is
Access to Services,LONGER COURSE  8 WEEKS INSTEAD OF 6
Access to Services,for the course to run for longer than 6 weeks It was useful
Staff/Staff Attitude,I would employ more nurses
Care/ Treatment,Being able to see a dentist earlier than 1000am  Waited since 730
Access to Services,Sometimes the times have not fitted in with sleeps  but maybe I should have been more organised
Access to Services,stop cut backs these services are brilliant and should be invested into to maintain the high standards that the staff clearly aim to achieve
Couldn't be improved,No
Access to Services,Provide the option of attending a prediabetes session
Couldn't be improved,Nothing
Couldn't be improved,Can not think of anything needing to be improved
Staff/Staff Attitude,More staff
Care/ Treatment,I would like a set time for visists as I have amny appts
Couldn't be improved,Nothing
Couldn't be improved,nothing
Care/ Treatment,More things to suit me to occupy my time suitable hobbies etc 
Access to Services,Better access to doctor
Access to Services,111 long winded process
Couldn't be improved,Nothing
Couldn't be improved,Nothing they listen well
